InvoiceNumber;DeliveryNoteNumber;CompanyCode;SalesOrg;Division;SoldToNumber;SoldToName;SoldToComMail;SoldToLanguage;SoldToStatus;InvoiceIssueDate;DocumentType;ShipToNumber;ShipToName;DeliveryNoteDate;ShippingPoint
1397721275;H0000231739;HU17;HU17;10;0000103063;NEKERESS Kft;nekeress.kft@gmail.com;HU;3H;2021.09.01;ZF2;0100258287;NEKERESS Kft/Tiszaeszlár;2021.08.31;K102
1418807066;514201092021;SK01;SK01;10;0000110919;BAUMIT, spol. s r.o.;dod_faktury@baumit.sk;SK;3H;2021.09.01;ZF2;0100306421;Baumit, spol.s.r.o.;2021.08.31;K101
1418807390;H0000231739;SK01;SK01;10;CHU17;CRH Magyarország Kft.;crhmagyarorszag_ice@hu.crh.com;HU;3H;2021.09.01;ZIV;0100258287;NEKERESS Kft/Tiszaeszlár;2021.08.31;K102
1400597189;4442103329;HU17;HU18;40;0000102124;KENÉZI ÉPÍTŐ Kft.;anitabertalan@gmail.com,keneziepito@gmail.com;HU;3H;2021.09.01;ZF2;0100743515;Sárvár telepi TAR-csarnok;2021.08.17;H444
1400597189;4442103332;HU17;HU18;40;0000102124;KENÉZI ÉPÍTŐ Kft.;anitabertalan@gmail.com,keneziepito@gmail.com;HU;3H;2021.09.01;ZF2;0100743515;Sárvár telepi TAR-csarnok;2021.08.17;H444
1400597189;4442103336;HU17;HU18;40;0000102124;KENÉZI ÉPÍTŐ Kft.;anitabertalan@gmail.com,keneziepito@gmail.com;HU;3H;2021.09.01;ZF2;0100743515;Sárvár telepi TAR-csarnok;2021.08.17;H444
1400597189;4442103337;HU17;HU18;40;0000102124;KENÉZI ÉPÍTŐ Kft.;anitabertalan@gmail.com,keneziepito@gmail.com;HU;3H;2021.09.01;ZF2;0100743515;Sárvár telepi TAR-csarnok;2021.08.17;H444
1400597189;4442103373;HU17;HU18;40;0000102124;KENÉZI ÉPÍTŐ Kft.;anitabertalan@gmail.com,keneziepito@gmail.com;HU;3H;2021.09.01;ZF2;0100743515;Sárvár telepi TAR-csarnok;2021.08.19;H444
1400597189;4442103374;HU17;HU18;40;0000102124;KENÉZI ÉPÍTŐ Kft.;anitabertalan@gmail.com,keneziepito@gmail.com;HU;3H;2021.09.01;ZF2;0100743515;Sárvár telepi TAR-csarnok;2021.08.19;H444
1400597189;4442103377;HU17;HU18;40;0000102124;KENÉZI ÉPÍTŐ Kft.;anitabertalan@gmail.com,keneziepito@gmail.com;HU;3H;2021.09.01;ZF2;0100743515;Sárvár telepi TAR-csarnok;2021.08.19;H444
1400597189;4442103381;HU17;HU18;40;0000102124;KENÉZI ÉPÍTŐ Kft.;anitabertalan@gmail.com,keneziepito@gmail.com;HU;3H;2021.09.01;ZF2;0100743515;Sárvár telepi TAR-csarnok;2021.08.19;H444
1400597189;4442103382;HU17;HU18;40;0000102124;KENÉZI ÉPÍTŐ Kft.;anitabertalan@gmail.com,keneziepito@gmail.com;HU;3H;2021.09.01;ZF2;0100743515;Sárvár telepi TAR-csarnok;2021.08.19;H444
1400597371;4312101396;HU17;HU18;40;0000157450;BETONÚT MESTER KFT.;betonutmester@gmail.com;HU;3H;2021.09.01;ZF2;0100807951;Buszpályaudvar Komárom  Győrből 9km;2021.08.17;H431
1400597371;4312101497;HU17;HU18;40;0000157450;BETONÚT MESTER KFT.;betonutmester@gmail.com;HU;3H;2021.09.01;ZF2;0100807951;Buszpályaudvar Komárom  Győrből 9km;2021.08.19;H431
1400597372;4122109181;HU17;HU18;40;0000157450;BETONÚT MESTER KFT.;betonutmester@gmail.com;HU;3H;2021.09.01;ZF2;0100809119;Telepi (SF) Bia-Etyek kerékpárút;2021.08.30;H412
1400597372;4122109258;HU17;HU18;40;0000157450;BETONÚT MESTER KFT.;betonutmester@gmail.com;HU;3H;2021.09.01;ZF2;0100809119;Telepi (SF) Bia-Etyek kerékpárút;2021.08.31;H412
