InvoiceNumber;DeliveryNoteNumber;CompanyCode;SalesOrg;Division;SoldToNumber;SoldToName;SoldToComMail;SoldToLanguage;SoldToStatus;InvoiceIssueDate;DocumentType;ShipToNumber;ShipToName;DeliveryNoteDate;ShippingPoint
1397698755;H0000188431;HU17;HU17;40;91234567;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698755;H0000188432;HU17;HU17;30;91234567;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698755;H0000188433;HU17;HU17;11;91234567;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698756;H0000188434;HU17;HU17;40;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698757;H0000188435;HU17;HU17;30;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698758;H0000188436;HU17;HU17;11;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698759;H0000188437;HU17;HU17;40;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698760;H0000188438;HU17;HU17;30;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698761;H0000188439;HU17;HU17;11;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698762;H0000188440;HU17;HU17;40;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698763;H0000188441;HU17;HU17;30;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698764;H0000188442;HU17;HU17;11;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698765;H0000188443;HU17;HU17;10;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698766;H0000188444;HU17;HU17;20;91234567;CEMPROM DOO;test.einvoice@synergon.sk;HU;;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698767;H0000188445;HU17;HU17;10;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698768;H0000188446;HU17;HU17;10;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698769;H0000188447;HU17;HU17;10;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698770;H0000188448;HU17;HU17;10;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698771;H0000188449;HU17;HU17;10;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698771;H0000188450;HU17;HU17;10;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698772;H0000188451;HU17;HU17;99;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698773;H0000188452;HU17;HU17;10;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698774;H0000188453;HU17;HU17;10;9999999;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698775;H0000188454;HU17;HU17;10;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
1397698776;H0000188455;HU17;HU17;20;9123456;CEMPROM DOO;test.einvoice@synergon.sk;HU;3E;27.1.2022;ZF2;100265062;BALEJA VELIKO LAOLE;27.1.2022;S101
